camera,frame,id,class_name,confidence,x_center,y_center
CAMERA_DEBUT_COULOIR_DROIT.mp4,87,30,person,0.31,342.4839,641.69403
CAMERA_DEBUT_COULOIR_DROIT.mp4,88,30,person,0.34,342.17395,641.31445
CAMERA_DEBUT_COULOIR_DROIT.mp4,89,30,person,0.31,342.18713,641.5641
CAMERA_DEBUT_COULOIR_DROIT.mp4,90,30,person,0.31,342.25262,641.7146
CAMERA_DEBUT_COULOIR_DROIT.mp4,92,30,person,0.26,342.19757,642.0759
CAMERA_DEBUT_COULOIR_DROIT.mp4,93,30,person,0.3,341.89917,642.0133
CAMERA_DEBUT_COULOIR_DROIT.mp4,94,30,person,0.27,341.71924,641.8712
CAMERA_DEBUT_COULOIR_DROIT.mp4,95,30,person,0.28,341.65552,641.91223
CAMERA_DEBUT_COULOIR_DROIT.mp4,96,30,person,0.34,341.62653,641.8551
CAMERA_DEBUT_COULOIR_DROIT.mp4,96,8,person,0.42,382.69754,645.2141
CAMERA_DEBUT_COULOIR_DROIT.mp4,96,23,person,0.28,363.62964,642.04663
CAMERA_DEBUT_COULOIR_DROIT.mp4,97,30,person,0.33,341.76343,641.7213
CAMERA_DEBUT_COULOIR_DROIT.mp4,97,8,person,0.45,382.3302,645.42444
CAMERA_DEBUT_COULOIR_DROIT.mp4,97,23,person,0.25,363.62048,642.3367
CAMERA_DEBUT_COULOIR_DROIT.mp4,98,30,person,0.33,341.86737,641.5919
CAMERA_DEBUT_COULOIR_DROIT.mp4,98,8,person,0.4,382.1432,644.8218
CAMERA_DEBUT_COULOIR_DROIT.mp4,98,23,person,0.3,363.94562,641.96924
CAMERA_DEBUT_COULOIR_DROIT.mp4,99,30,person,0.3,341.8213,641.4452
CAMERA_DEBUT_COULOIR_DROIT.mp4,99,8,person,0.35,381.96985,645.073
CAMERA_DEBUT_COULOIR_DROIT.mp4,99,23,person,0.26,363.8407,641.84076
CAMERA_DEBUT_COULOIR_DROIT.mp4,100,30,person,0.28,341.7005,641.211
CAMERA_DEBUT_COULOIR_DROIT.mp4,100,8,person,0.32,381.64996,645.3349
CAMERA_DEBUT_COULOIR_DROIT.mp4,104,30,person,0.26,341.69318,640.63354
CAMERA_DEBUT_COULOIR_DROIT.mp4,105,30,person,0.27,341.75592,641.2046
CAMERA_DEBUT_COULOIR_DROIT.mp4,107,23,person,0.27,364.73737,643.31335
CAMERA_DEBUT_COULOIR_DROIT.mp4,107,30,person,0.26,341.60223,641.3706
